day,day_type,checkin,checkout
1,V,-,-
2,V,-,-
3,V,-,-
4,V,-,-
5,V,-,-
6,V,-,-
7,V,-,-
8,V,-,-
9,V,-,-
10,V,-,-
11,V,-,-
12,V,-,-
13,V,-,-
14,V,-,-
15,V,-,-
16,V,-,-
17,V,-,-
18,V,-,-
19,V,-,-
20,V,-,-
21,V,-,-
22,V,-,-
23,V,-,-
24,N,07:46,11:45
25,N,07:25,15:30
26,N,07:30,17:27
27,WE,-,-
28,WE,-,-
29,N,07:00,07:00
30,N,07:00,07:00
